customerID,Contract,MonthlyCharges,TotalCharges,PaymentMethod,PaperlessBilling,billing_risk_score,Churn,churn_risk_segment
9359-JANWS,Two year,58.9,3857.1,Credit card (automatic),No,0,No,Low Risk
7517-SAWMO,Month-to-month,73.2,1441.1,Electronic check,Yes,6,Yes,Medium Risk
4143-HHPMK,Month-to-month,85.35,4338.6,Electronic check,Yes,6,Yes,High Risk
3279-DYZQM,Two year,19.45,1378.45,Mailed check,No,0,No,Low Risk
7054-LGEQW,Month-to-month,45.95,45.95,Mailed check,No,3,Yes,Low Risk
0523-VNGTF,Month-to-month,50.5,2566.3,Electronic check,Yes,6,No,High Risk
9575-IWCAZ,One year,25.1,171.0,Mailed check,No,0,No,Low Risk
7105-MXJLL,One year,60.7,1597.4,Mailed check,No,0,No,Low Risk
7064-FRRSW,One year,99.0,4744.35,Electronic check,Yes,3,No,Low Risk
7940-UQQUG,One year,104.4,6721.6,Bank transfer (automatic),Yes,1,No,Medium Risk
0923-PNFUB,Month-to-month,83.75,247.25,Electronic check,No,5,Yes,Medium Risk
3961-SXAXY,Month-to-month,44.05,44.05,Bank transfer (automatic),Yes,4,No,Medium Risk
7010-BRBUU,Two year,24.1,1734.65,Credit card (automatic),No,0,No,High Risk
3566-HJGPK,Month-to-month,45.55,45.55,Mailed check,Yes,4,No,Medium Risk
3062-ICYZQ,Month-to-month,93.8,4539.35,Electronic check,Yes,6,No,Medium Risk
9938-PRCVK,Two year,19.7,804.25,Bank transfer (automatic),No,0,No,Low Risk
0973-KYVNF,Two year,70.65,5011.15,Credit card (automatic),Yes,1,No,Low Risk
5129-HHMZC,Two year,86.45,3574.5,Credit card (automatic),No,0,No,Low Risk
9637-CDTKZ,Two year,114.1,8086.4,Credit card (automatic),Yes,1,No,Low Risk
3946-JEWRQ,One year,95.2,4563.0,Credit card (automatic),Yes,1,No,High Risk
7873-CVMAW,Two year,88.55,6362.35,Credit card (automatic),No,0,No,Low Risk
0463-WZZKO,Month-to-month,20.75,67.1,Credit card (automatic),Yes,4,No,Medium Risk
3494-JCHRQ,Month-to-month,70.05,70.05,Electronic check,Yes,6,Yes,High Risk
6474-FVJLC,Month-to-month,86.0,165.45,Electronic check,Yes,6,Yes,Medium Risk
4524-QCSSM,Month-to-month,44.65,1156.55,Bank transfer (automatic),Yes,4,No,High Risk
5832-EXGTT,Month-to-month,60.2,1834.15,Mailed check,Yes,4,No,Medium Risk
8840-DQLGN,Month-to-month,100.5,3653.35,Bank transfer (automatic),Yes,4,Yes,High Risk
2039-JONDJ,One year,55.45,1477.65,Bank transfer (automatic),No,0,No,Low Risk
7217-JYHOQ,Month-to-month,70.3,1706.45,Credit card (automatic),Yes,4,No,High Risk
6695-FRVEC,Two year,60.4,3953.7,Bank transfer (automatic),Yes,1,No,Low Risk
4547-LYTDD,Month-to-month,72.65,1194.3,Electronic check,No,5,Yes,High Risk
9894-QMIMJ,One year,55.8,1327.85,Bank transfer (automatic),No,0,No,Low Risk
8069-YQQAJ,Month-to-month,31.1,419.7,Mailed check,Yes,4,No,Medium Risk
6770-XUAGN,Month-to-month,21.0,21.0,Electronic check,Yes,6,Yes,Medium Risk
4193-ORFCL,Month-to-month,45.1,45.1,Mailed check,No,3,Yes,Low Risk
1636-NTNCO,Month-to-month,50.95,207.35,Credit card (automatic),Yes,4,No,Medium Risk
3466-WAESX,Month-to-month,69.1,1083.7,Electronic check,Yes,6,No,Medium Risk
9281-PKKZE,Month-to-month,43.95,2007.85,Electronic check,Yes,6,No,Medium Risk
3638-VBZTA,Two year,86.5,5882.75,Bank transfer (automatic),Yes,1,No,Low Risk
7459-IMVYU,Month-to-month,69.95,2657.55,Electronic check,No,5,No,High Risk
7776-QWNFX,Month-to-month,50.4,1527.5,Bank transfer (automatic),Yes,4,Yes,Medium Risk
6689-TCZHQ,Month-to-month,78.95,378.4,Electronic check,No,5,Yes,Medium Risk
8563-OYMQY,Month-to-month,90.95,1612.2,Credit card (automatic),Yes,4,No,Medium Risk
0754-EEBDC,Two year,19.9,76.65,Mailed check,No,0,No,Low Risk
5777-ZPQNC,One year,20.15,260.7,Electronic check,No,2,No,Low Risk
1951-IEYXM,Two year,90.6,6441.85,Credit card (automatic),Yes,1,No,Low Risk
3318-NMQXL,Month-to-month,92.0,266.8,Electronic check,Yes,6,No,Medium Risk
3143-ILDAL,Month-to-month,94.45,5124.6,Electronic check,Yes,6,Yes,High Risk
1022-RKXDR,One year,24.85,962.25,Mailed check,Yes,1,No,Low Risk
2361-FJWNO,One year,36.0,1382.9,Credit card (automatic),No,0,No,Low Risk
2272-UOINI,Month-to-month,78.5,571.05,Electronic check,Yes,6,No,Medium Risk
8232-UTFOZ,Two year,19.95,1399.35,Credit card (automatic),No,0,No,Low Risk
3750-YHRYO,One year,20.65,150.0,Mailed check,No,0,No,Low Risk
6637-KYRCV,Month-to-month,30.5,167.2,Electronic check,Yes,6,No,Medium Risk
5668-MEISB,Two year,106.1,7657.4,Credit card (automatic),No,0,No,Medium Risk
0129-QMPDR,One year,20.5,865.05,Bank transfer (automatic),Yes,1,No,Low Risk
7188-CBBBA,One year,95.5,6153.85,Electronic check,Yes,3,No,Medium Risk
5356-CSVSQ,Month-to-month,64.6,174.2,Electronic check,No,5,No,Medium Risk
3221-CJMSG,Month-to-month,51.1,1269.6,Credit card (automatic),Yes,4,No,Medium Risk
4720-VSTSI,Month-to-month,84.8,3862.55,Bank transfer (automatic),Yes,4,Yes,High Risk
3219-JQRSL,Two year,89.1,6352.4,Credit card (automatic),No,0,No,Low Risk
2801-NISEI,Month-to-month,54.95,1348.5,Electronic check,No,5,No,Medium Risk
3946-MHCZW,Month-to-month,50.9,50.9,Mailed check,No,3,Yes,Low Risk
4623-ZKHLY,Month-to-month,20.45,471.55,Bank transfer (automatic),Yes,4,No,Medium Risk
6732-VAILE,Two year,85.95,5931.75,Credit card (automatic),Yes,1,No,Low Risk
8201-AAXCB,Month-to-month,60.35,1404.65,Electronic check,No,5,No,High Risk
7696-CFTAT,Two year,19.8,726.1,Bank transfer (automatic),No,0,No,Medium Risk
1845-CSBRZ,Month-to-month,85.35,1961.6,Bank transfer (automatic),No,3,No,Low Risk
2123-VSCOT,Two year,72.1,4194.85,Bank transfer (automatic),Yes,1,No,Low Risk
6651-AZVTJ,Month-to-month,99.8,4872.45,Electronic check,Yes,6,Yes,High Risk
4566-GOLUK,Month-to-month,107.35,5118.95,Bank transfer (automatic),Yes,4,Yes,High Risk
2484-DGXPZ,Month-to-month,19.55,658.95,Mailed check,Yes,4,Yes,Medium Risk
2018-QKYGT,Month-to-month,81.05,81.05,Electronic check,Yes,6,No,Medium Risk
2792-VPPET,Month-to-month,20.5,76.95,Electronic check,Yes,6,No,Medium Risk
7409-JURKQ,One year,111.8,5809.75,Bank transfer (automatic),Yes,1,No,Low Risk
3247-MHJKM,Month-to-month,20.2,20.2,Mailed check,No,3,No,Low Risk
1964-SVLEA,One year,19.7,415.9,Mailed check,Yes,1,No,Low Risk
4587-NUKOX,Month-to-month,79.1,246.5,Electronic check,Yes,6,Yes,Medium Risk
7297-DVYGA,One year,19.85,996.95,Bank transfer (automatic),Yes,1,No,Low Risk
2239-CGBUZ,One year,60.5,3145.15,Bank transfer (automatic),Yes,1,No,Low Risk
0854-UYHZD,Two year,19.55,265.3,Mailed check,No,0,No,Low Risk
7243-LCGGZ,Month-to-month,20.9,20.9,Mailed check,No,3,No,Medium Risk
8267-KFGYD,Month-to-month,21.05,21.05,Mailed check,Yes,4,No,Medium Risk
4890-VMUAV,One year,71.5,4576.3,Electronic check,No,2,No,Low Risk
9261-WDCAF,Month-to-month,54.65,189.1,Mailed check,No,3,No,Low Risk
3764-MNMOI,Two year,19.2,908.15,Credit card (automatic),No,0,No,Low Risk
7442-YGZFK,Month-to-month,49.8,49.8,Credit card (automatic),Yes,4,No,Medium Risk
0420-BWTPW,Month-to-month,25.5,215.2,Mailed check,No,3,Yes,Low Risk
8229-BUJHX,Two year,20.5,1500.95,Bank transfer (automatic),No,0,No,High Risk
7449-HVPIV,Month-to-month,90.4,5099.15,Credit card (automatic),Yes,4,No,Medium Risk
5504-WSIUR,One year,90.25,6385.95,Bank transfer (automatic),Yes,1,No,Low Risk
8183-ONMXC,Month-to-month,80.75,159.45,Electronic check,No,5,Yes,High Risk
8466-PZBLH,Two year,104.6,6885.75,Bank transfer (automatic),No,0,No,Low Risk
9614-RMGHA,Month-to-month,91.85,5940.85,Bank transfer (automatic),Yes,4,Yes,High Risk
8735-IJJEG,Month-to-month,50.2,668.85,Credit card (automatic),No,3,No,Low Risk
0564-MUUQK,Month-to-month,95.5,1916.2,Bank transfer (automatic),Yes,4,No,Medium Risk
5054-IEXZT,Month-to-month,75.35,75.35,Electronic check,Yes,6,Yes,Medium Risk
5834-ASPWA,Month-to-month,75.45,75.45,Electronic check,Yes,6,Yes,Medium Risk
0701-RFGFI,Month-to-month,95.4,4613.95,Bank transfer (automatic),Yes,4,No,High Risk
0019-EFAEP,Two year,101.3,7261.25,Bank transfer (automatic),Yes,1,No,Low Risk
5619-PTMIK,Month-to-month,53.1,2459.8,Electronic check,No,5,No,Medium Risk
3737-XBQDD,Month-to-month,84.85,2048.8,Bank transfer (automatic),Yes,4,No,Medium Risk
5882-CMAZQ,Month-to-month,34.25,163.55,Electronic check,No,5,No,Medium Risk
5846-QFDFI,Month-to-month,88.6,2888.7,Credit card (automatic),No,3,No,Low Risk
4445-KWOKW,One year,60.15,2421.6,Bank transfer (automatic),Yes,1,No,Low Risk
3511-APPBJ,One year,99.95,2292.75,Credit card (automatic),Yes,1,No,Low Risk
7967-HYCDE,Month-to-month,70.7,553.4,Bank transfer (automatic),No,3,No,Low Risk
2430-RRYUW,One year,54.8,3465.7,Mailed check,Yes,1,No,High Risk
3948-XHGNA,Month-to-month,49.55,1210.4,Bank transfer (automatic),Yes,4,Yes,Medium Risk
3723-BFBGR,Month-to-month,54.8,1291.3,Credit card (automatic),No,3,No,Low Risk
0565-IYCGT,One year,78.6,5356.45,Credit card (automatic),Yes,1,Yes,High Risk
5447-WZAFP,One year,100.3,5200.8,Mailed check,Yes,1,No,Medium Risk
5110-CHOPY,Two year,53.6,3237.05,Electronic check,No,2,No,High Risk
5445-UTODQ,Month-to-month,81.1,576.65,Electronic check,Yes,6,Yes,Medium Risk
4425-OWHWB,One year,19.35,433.75,Credit card (automatic),Yes,1,No,Low Risk
7892-QVYKW,Month-to-month,85.6,1868.4,Electronic check,No,5,No,Medium Risk
9675-ICXCT,Two year,80.8,5728.55,Electronic check,Yes,3,No,High Risk
1024-VRZHF,Month-to-month,74.95,825.7,Electronic check,Yes,6,Yes,Medium Risk
4703-MQYKT,Two year,19.6,390.4,Mailed check,No,0,No,Low Risk
9497-QCMMS,Month-to-month,93.55,93.55,Electronic check,Yes,6,Yes,High Risk
5692-ICXLW,Month-to-month,90.7,2845.15,Electronic check,Yes,6,No,Medium Risk
0602-DDUML,Two year,69.75,3894.4,Mailed check,No,0,No,Low Risk
2208-MPXIO,Two year,20.0,886.4,Bank transfer (automatic),Yes,1,No,Low Risk
1960-UYCNN,Month-to-month,95.25,1021.55,Electronic check,Yes,6,No,Medium Risk
0348-SDKOL,Month-to-month,102.1,5885.4,Credit card (automatic),Yes,4,Yes,High Risk
3190-FZATL,Month-to-month,19.95,268.4,Mailed check,No,3,No,Low Risk
7336-RLLRH,One year,80.85,2204.35,Mailed check,No,0,No,Low Risk
4373-MAVJG,Month-to-month,90.9,1259.0,Bank transfer (automatic),Yes,4,Yes,Medium Risk
8901-HJXTF,Month-to-month,29.2,309.1,Mailed check,No,3,Yes,Low Risk
7710-JSYOA,Two year,93.3,6398.05,Bank transfer (automatic),Yes,1,No,Low Risk
5419-KLXBN,Month-to-month,89.15,2257.75,Bank transfer (automatic),Yes,4,Yes,Medium Risk
3424-NMNBO,One year,108.85,6287.25,Electronic check,Yes,3,Yes,High Risk
9885-MFVSU,Two year,46.35,1662.05,Credit card (automatic),Yes,1,No,Low Risk
4514-GFCFI,Month-to-month,84.75,1350.15,Electronic check,Yes,6,Yes,Medium Risk
0607-MVMGC,One year,78.75,3600.65,Credit card (automatic),No,0,No,Low Risk
3365-SAIGS,Month-to-month,83.55,1329.15,Electronic check,Yes,6,No,Medium Risk
9828-AOQLM,Month-to-month,45.7,45.7,Electronic check,Yes,6,Yes,Medium Risk
8022-BECSI,One year,19.6,422.5,Mailed check,No,0,No,Low Risk
8000-REIQB,Month-to-month,69.95,69.95,Electronic check,Yes,6,Yes,Medium Risk
9993-LHIEB,Two year,67.85,4627.65,Mailed check,No,0,No,Low Risk
0266-CLZKZ,Two year,105.65,6717.9,Bank transfer (automatic),Yes,1,No,Low Risk
7615-ESMYF,Month-to-month,44.6,97.1,Electronic check,No,5,Yes,Medium Risk
3858-VOBET,Month-to-month,74.95,1710.45,Electronic check,Yes,6,Yes,Medium Risk
7020-OZKXZ,Month-to-month,75.5,637.4,Credit card (automatic),No,3,No,Low Risk
3977-QCRSL,Month-to-month,20.15,117.95,Mailed check,No,3,No,Medium Risk
0017-DINOC,Two year,45.2,2460.55,Credit card (automatic),No,0,No,Low Risk
1447-PJGGA,Two year,95.25,5464.65,Electronic check,Yes,3,Yes,High Risk
8565-CLBZW,Month-to-month,89.85,2165.05,Mailed check,Yes,4,Yes,High Risk
9139-WQQDY,One year,100.45,4941.8,Mailed check,No,0,Yes,High Risk
0224-HJAPT,Month-to-month,47.15,223.15,Electronic check,No,5,Yes,Medium Risk
8086-OVPWV,Month-to-month,80.2,181.1,Electronic check,Yes,6,Yes,Medium Risk
9430-FRQOC,Month-to-month,87.1,341.45,Mailed check,Yes,4,Yes,Medium Risk
7639-OPLNG,Two year,79.25,5731.85,Bank transfer (automatic),Yes,1,No,Low Risk
3074-GQWYX,Month-to-month,75.9,357.75,Bank transfer (automatic),Yes,4,Yes,Medium Risk
1492-QGCLU,Month-to-month,85.7,4616.1,Electronic check,No,5,No,Medium Risk
6845-RGTYS,Month-to-month,98.75,4533.7,Electronic check,Yes,6,Yes,High Risk
7328-OWMOM,One year,20.1,589.25,Credit card (automatic),No,0,No,Low Risk
4418-LZMSV,Month-to-month,61.8,750.1,Bank transfer (automatic),No,3,No,Low Risk
5155-AZQPB,Month-to-month,49.9,1410.25,Mailed check,No,3,No,High Risk
8861-HGGKB,Month-to-month,86.45,830.85,Electronic check,No,5,Yes,Medium Risk
1087-GRUYI,Two year,20.4,743.5,Bank transfer (automatic),No,0,No,Low Risk
7065-YUNRY,Month-to-month,45.3,45.3,Mailed check,Yes,4,Yes,Medium Risk
7694-VLBWQ,One year,104.1,7040.85,Electronic check,No,2,Yes,High Risk
2546-KZAAT,One year,75.4,3865.45,Mailed check,Yes,1,No,Low Risk
0181-RITDD,Two year,108.15,6825.65,Mailed check,No,0,No,Medium Risk
5989-PGKJB,Month-to-month,86.25,1340.1,Electronic check,Yes,6,No,Medium Risk
4795-KTRTH,Month-to-month,81.0,371.65,Electronic check,Yes,6,Yes,High Risk
8272-ONJLV,One year,95.7,1184.0,Electronic check,No,2,No,Medium Risk
1488-PBLJN,Two year,116.85,8477.7,Bank transfer (automatic),Yes,1,No,Low Risk
0308-GIQJT,One year,105.75,7382.85,Bank transfer (automatic),No,0,No,Low Risk
3778-FOAQW,One year,20.15,456.85,Mailed check,No,0,No,Low Risk
4452-ROHMO,Two year,19.6,331.6,Mailed check,No,0,No,Low Risk
6481-OGDOO,One year,90.6,6056.15,Credit card (automatic),Yes,1,Yes,High Risk
3090-LETTY,Month-to-month,60.95,134.6,Bank transfer (automatic),No,3,No,Low Risk
5349-AZPEW,Month-to-month,25.05,125.5,Mailed check,No,3,No,Low Risk
3753-TSEMP,Month-to-month,88.15,1390.6,Electronic check,No,5,Yes,High Risk
8305-VHZBZ,Month-to-month,20.2,20.2,Mailed check,Yes,4,Yes,Medium Risk
9720-JJJOR,One year,60.3,2511.3,Bank transfer (automatic),Yes,1,No,Low Risk
8100-HZZLJ,Month-to-month,63.95,2737.05,Electronic check,Yes,6,No,Medium Risk
8775-ERLNB,Month-to-month,74.3,74.3,Electronic check,No,5,No,High Risk
8309-IEYJD,Month-to-month,70.6,70.6,Mailed check,Yes,4,No,Medium Risk
9172-JITSM,Month-to-month,90.8,2361.8,Electronic check,Yes,6,Yes,High Risk
6298-QDFNH,Month-to-month,79.35,1730.35,Electronic check,Yes,6,Yes,High Risk
7398-HPYZQ,Two year,90.55,6404.0,Bank transfer (automatic),No,0,No,Low Risk
3546-GHEAE,Two year,19.45,165.35,Mailed check,No,0,No,Low Risk
7361-YPXFS,Month-to-month,64.45,1867.6,Bank transfer (automatic),No,3,No,Low Risk
6557-BZXLQ,Month-to-month,69.65,1043.3,Electronic check,No,5,No,High Risk
2550-QHZGP,One year,19.5,128.6,Mailed check,No,0,No,Low Risk
7519-JTWQH,Two year,110.5,7455.45,Bank transfer (automatic),Yes,1,No,High Risk
2538-OIMXF,Month-to-month,24.7,24.7,Mailed check,No,3,No,Low Risk
8543-MSDMF,Month-to-month,77.4,206.15,Electronic check,Yes,6,No,Medium Risk
9961-JBNMK,Month-to-month,96.8,2030.3,Bank transfer (automatic),Yes,4,Yes,High Risk
1170-SASML,Month-to-month,85.4,5869.4,Bank transfer (automatic),Yes,4,No,Medium Risk
4872-JCVCA,Two year,47.6,3377.8,Bank transfer (automatic),Yes,1,No,Low Risk
5346-BZCHP,Two year,19.4,1346.2,Mailed check,No,0,No,Low Risk
2038-LLMLM,Month-to-month,103.85,4946.05,Electronic check,Yes,6,No,High Risk
6173-ITPWD,Month-to-month,83.35,4065.0,Bank transfer (automatic),Yes,4,Yes,High Risk
9734-UYXQI,Month-to-month,49.4,106.55,Electronic check,Yes,6,Yes,Medium Risk
1216-BGTSP,Month-to-month,108.45,4964.7,Credit card (automatic),Yes,4,No,Medium Risk
4138-NAXED,Month-to-month,81.0,4085.75,Bank transfer (automatic),No,3,No,Low Risk
2189-UXTKY,Month-to-month,79.2,1742.75,Electronic check,Yes,6,Yes,High Risk
0744-BIKKF,Two year,86.65,6224.8,Bank transfer (automatic),No,0,No,Low Risk
7483-IQWIB,Month-to-month,92.95,3415.25,Electronic check,Yes,6,No,High Risk
5248-KWLAR,Two year,90.35,6325.25,Electronic check,No,2,No,Low Risk
4958-GZWIY,Month-to-month,48.7,340.25,Electronic check,No,5,Yes,Medium Risk
7996-MHXLW,Two year,25.15,1683.6,Credit card (automatic),Yes,1,No,Low Risk
7833-PKIHD,One year,76.4,3966.3,Bank transfer (automatic),Yes,1,No,Low Risk
7061-OVMIM,One year,19.55,608.5,Bank transfer (automatic),No,0,No,Low Risk
5153-RTHKF,Month-to-month,85.35,2896.6,Electronic check,No,5,No,Medium Risk
1852-QSWCD,Two year,24.8,1514.85,Mailed check,Yes,1,No,Low Risk
4832-VRBMR,One year,103.15,6792.45,Bank transfer (automatic),Yes,1,No,Low Risk
9079-LWTFD,Month-to-month,100.75,4669.2,Mailed check,No,3,No,Low Risk
6356-ELRKD,Month-to-month,95.6,95.6,Electronic check,Yes,6,Yes,High Risk
8624-GIOUT,Month-to-month,59.75,2934.3,Credit card (automatic),Yes,4,Yes,High Risk
3392-EHMNK,Two year,94.1,6302.8,Credit card (automatic),No,0,No,Low Risk
5986-WWXDV,One year,19.35,779.2,Bank transfer (automatic),No,0,No,Low Risk
3061-BCKYI,Month-to-month,19.9,283.75,Mailed check,No,3,No,Low Risk
6179-GJPSO,Month-to-month,108.15,4600.7,Credit card (automatic),Yes,4,Yes,High Risk
7901-TBKJX,Month-to-month,101.05,5594.0,Electronic check,Yes,6,No,Medium Risk
7228-PAQPD,One year,59.1,772.85,Credit card (automatic),No,0,No,Low Risk
3177-LASXD,Month-to-month,71.35,71.35,Electronic check,No,5,Yes,Medium Risk
7746-QYVCO,One year,55.85,857.8,Mailed check,Yes,1,No,Low Risk
5804-HYIEZ,Month-to-month,106.05,7554.05,Electronic check,Yes,6,No,High Risk
9919-FZDED,Two year,84.1,5981.65,Credit card (automatic),Yes,1,No,Medium Risk
5934-TSSAU,Month-to-month,75.3,1702.9,Credit card (automatic),Yes,4,No,Medium Risk
3486-KHMLI,Month-to-month,24.7,467.15,Mailed check,No,3,No,Low Risk
4897-QSUYC,Month-to-month,20.15,20.15,Mailed check,Yes,4,Yes,Medium Risk
1084-UQCHV,Month-to-month,69.75,69.75,Bank transfer (automatic),No,3,Yes,Low Risk
8290-YWKHZ,Month-to-month,93.2,2931.0,Electronic check,Yes,6,Yes,High Risk
2955-BJZHG,Month-to-month,80.85,1400.85,Electronic check,No,5,Yes,Medium Risk
3806-DXQOM,Month-to-month,33.65,137.85,Electronic check,Yes,6,Yes,High Risk
6784-XYJAE,One year,55.8,1941.5,Electronic check,No,2,No,Medium Risk
3933-DQPWX,Two year,39.7,1932.75,Credit card (automatic),No,0,No,Low Risk
6661-EIPZC,Month-to-month,29.5,1423.05,Credit card (automatic),Yes,4,No,Medium Risk
8957-THMOA,Two year,20.15,970.85,Credit card (automatic),No,0,No,Medium Risk
2251-PYLPB,Two year,79.55,5810.9,Credit card (automatic),No,0,No,Low Risk
5555-RNPGT,Month-to-month,24.8,223.9,Credit card (automatic),No,3,No,Low Risk
1057-FOGLZ,Month-to-month,19.65,391.7,Mailed check,No,3,No,High Risk
9300-RENDD,Month-to-month,79.95,79.95,Electronic check,Yes,6,Yes,High Risk
0761-AETCS,Month-to-month,19.3,19.3,Electronic check,No,5,Yes,Medium Risk
8087-LGYHQ,Month-to-month,94.05,811.65,Electronic check,Yes,6,No,Medium Risk
4137-BTIKL,Month-to-month,90.75,174.75,Mailed check,No,3,No,Low Risk
2190-BCXEC,Month-to-month,78.85,3126.85,Credit card (automatic),Yes,4,No,Medium Risk
6227-FBDXH,One year,99.5,6841.45,Bank transfer (automatic),No,0,No,Low Risk
2153-MREFK,One year,99.2,3754.6,Electronic check,Yes,3,Yes,High Risk
2911-WDXMV,Month-to-month,80.55,1406.65,Credit card (automatic),Yes,4,No,High Risk
7206-PQBBZ,Month-to-month,70.2,834.7,Electronic check,Yes,6,No,Medium Risk
3106-ULWFW,Month-to-month,85.2,627.4,Credit card (automatic),Yes,4,Yes,Medium Risk
0925-VYDLG,Month-to-month,75.25,242.0,Electronic check,No,5,Yes,Medium Risk
4547-FZJWE,One year,59.45,3157.0,Credit card (automatic),No,0,No,Low Risk
7422-WNBTY,Month-to-month,93.35,3092.0,Electronic check,Yes,6,No,Medium Risk
0842-IWYCP,Month-to-month,44.95,2168.9,Bank transfer (automatic),No,3,No,Low Risk
3521-HTQTV,Two year,26.1,980.35,Bank transfer (automatic),No,0,No,Low Risk
3744-ZBHON,Month-to-month,20.2,65.95,Electronic check,No,5,No,Medium Risk
3373-DIUUN,Two year,21.25,711.9,Mailed check,No,0,No,Low Risk
8383-SGHJU,One year,59.4,1952.8,Electronic check,No,2,No,Low Risk
7607-QKKTJ,One year,95.0,4368.85,Credit card (automatic),Yes,1,No,Low Risk
7707-PYBBH,Month-to-month,61.9,2647.1,Mailed check,Yes,4,No,Medium Risk
8984-HPEMB,Two year,118.65,8477.6,Electronic check,Yes,3,No,Medium Risk
4349-GFQHK,Month-to-month,54.35,54.35,Electronic check,No,5,Yes,Medium Risk
4139-DETXS,Two year,64.45,4528.0,Bank transfer (automatic),No,0,No,Low Risk
9779-DPNEJ,Month-to-month,80.15,1790.65,Electronic check,Yes,6,No,Medium Risk
9805-FILKB,One year,20.2,845.6,Bank transfer (automatic),Yes,1,No,Low Risk
5793-YOLJN,Two year,21.0,1210.3,Mailed check,No,0,No,High Risk
0673-IGUQO,Month-to-month,20.45,20.45,Mailed check,No,3,No,Low Risk
4123-FCVCB,One year,75.85,854.45,Mailed check,Yes,1,No,Medium Risk
8819-IMISP,Month-to-month,80.45,2429.1,Electronic check,Yes,6,No,Medium Risk
7802-EFKNY,Month-to-month,24.95,100.4,Electronic check,Yes,6,Yes,Medium Risk
8311-UEUAB,Two year,75.5,5229.45,Electronic check,Yes,3,No,Low Risk
5858-EAFCZ,Month-to-month,44.45,44.45,Mailed check,No,3,No,Low Risk
8035-BUYVG,One year,42.35,1716.45,Electronic check,Yes,3,Yes,High Risk
1163-ONYEY,Month-to-month,74.55,3023.55,Credit card (automatic),Yes,4,No,Medium Risk
9787-XVQIU,Month-to-month,75.3,75.3,Electronic check,Yes,6,Yes,Medium Risk
8945-MUQUF,One year,94.8,4837.6,Electronic check,Yes,3,Yes,High Risk
5656-MJEFC,Two year,48.15,2032.3,Credit card (automatic),No,0,No,Low Risk
6082-OQFBA,One year,19.65,436.9,Mailed check,No,0,No,Low Risk
8051-HJRLT,Month-to-month,70.55,70.55,Electronic check,Yes,6,Yes,Medium Risk
8974-OVACP,Month-to-month,20.15,20.15,Mailed check,No,3,No,Medium Risk
4010-YLMVT,Month-to-month,106.6,5893.95,Credit card (automatic),Yes,4,No,Medium Risk
1379-FRVEB,Month-to-month,91.0,1430.05,Electronic check,Yes,6,No,Medium Risk
8612-GXIDD,Two year,25.4,313.0,Bank transfer (automatic),Yes,1,No,Low Risk
6288-CHQJB,Two year,69.95,3871.85,Bank transfer (automatic),No,0,No,Low Risk
8160-HOWOX,Month-to-month,66.85,458.1,Electronic check,Yes,6,No,Medium Risk
3023-GFLBR,Month-to-month,86.15,2745.7,Credit card (automatic),No,3,Yes,Low Risk
6648-INWPS,Month-to-month,20.15,341.35,Electronic check,No,5,No,Medium Risk
4223-BKEOR,One year,64.85,1336.8,Mailed check,No,0,No,Low Risk
4079-VTGLK,Two year,74.85,2181.75,Electronic check,No,2,No,Low Risk
1763-WQFUK,Month-to-month,50.5,147.75,Mailed check,Yes,4,No,Medium Risk
1391-UBDAR,Month-to-month,72.9,818.45,Electronic check,No,5,No,Medium Risk
8894-JVDCV,One year,115.05,7133.45,Credit card (automatic),Yes,1,No,Low Risk
2023-VQFDL,Month-to-month,19.0,348.8,Electronic check,No,5,No,Medium Risk
1345-GKDZZ,Month-to-month,19.55,128.6,Mailed check,No,3,No,Low Risk
2014-MKGMH,One year,101.1,4674.4,Electronic check,Yes,3,No,Medium Risk
5628-FCGYG,Month-to-month,84.1,1737.45,Electronic check,Yes,6,No,Medium Risk
2560-WBWXF,Two year,24.15,1498.85,Bank transfer (automatic),Yes,1,No,Low Risk
0248-IPDFW,Month-to-month,50.1,50.1,Electronic check,Yes,6,No,Medium Risk
7978-DKUQH,Month-to-month,74.6,1797.75,Electronic check,Yes,6,No,Medium Risk
4335-UPJSI,Two year,19.75,498.1,Mailed check,No,0,No,Low Risk
0524-IAVZO,Month-to-month,85.0,2624.25,Electronic check,Yes,6,Yes,Medium Risk
2737-YNGYW,Month-to-month,80.55,184.1,Electronic check,No,5,Yes,Medium Risk
1784-EZDKJ,One year,106.8,5498.8,Bank transfer (automatic),Yes,1,No,Low Risk
9297-FVVDH,Two year,84.5,4845.4,Electronic check,Yes,3,No,High Risk
8007-YYPWD,Two year,25.05,369.1,Bank transfer (automatic),No,0,No,Low Risk
7101-HRBLJ,Two year,83.7,6096.9,Bank transfer (automatic),Yes,1,No,Low Risk
5159-YFPKQ,Month-to-month,75.8,160.75,Electronic check,Yes,6,Yes,Medium Risk
6635-CPNUN,Month-to-month,96.6,2684.35,Credit card (automatic),No,3,No,Low Risk
4021-RQSNY,Month-to-month,98.5,3004.15,Electronic check,Yes,6,Yes,High Risk
5453-YBTWV,Two year,101.1,6994.8,Credit card (automatic),Yes,1,No,Low Risk
5039-LZRQT,One year,20.2,273.25,Mailed check,No,0,No,Low Risk
2931-VUVJN,One year,94.05,5483.9,Electronic check,Yes,3,No,High Risk
9061-TIHDA,Month-to-month,95.25,1233.65,Electronic check,Yes,6,Yes,Medium Risk
